year,month,day,hour,map_mm,mat_degc,ptps
1980,1,5,0,0.1016,-0.944,1
1980,1,5,6,0.0254,-0.287,0.885
1980,1,5,12,0.0254,2.889,0.376666666666667
1980,1,5,18,0.0508,-0.009,0.866666666666667
1980,1,6,0,0,-5.694,1
1980,1,6,6,0,-9.278,1
1980,1,6,12,0,-3.444,1
1980,1,6,18,0,-5.083,1
1980,1,7,0,0,-8.824,1
1980,1,7,6,0,-7.361,1
1980,1,7,12,0.0254,-0.537,1
1980,1,7,18,1.905,-2.148,1
1980,1,8,0,2.3622,-3.806,1
1980,1,8,6,0.635,-1.185,0.976666666666667
1980,1,8,12,0.3556,0.787,0.711666666666667
1980,1,8,18,0.0254,-1.213,1
1980,1,9,0,0.4826,-1.972,1
1980,1,9,6,1.1176,-1.278,0.996666666666667
1980,1,9,12,0.381,0.583,0.925
1980,1,9,18,10.9728,-0.157,0.93
1980,1,10,0,9.525,-1.769,0.996666666666667
1980,1,10,6,0.4826,-4.722,1
1980,1,10,12,0.0254,-7.722,1
1980,1,10,18,0,-10.833,1
1980,1,11,0,0,-11.935,1
1980,1,11,6,4.7498,-8.88,1
1980,1,11,12,1.6256,-3.454,0.99
1980,1,11,18,11.7602,1.25,0.47
1980,1,12,0,6.5024,3.231,0.115
1980,1,12,6,11.2776,4.083,0.005
1980,1,12,12,2.1844,5.213,0
1980,1,12,18,3.0988,3.704,0.0316666666666667
1980,1,13,0,12.3444,1.861,0.128333333333333
1980,1,13,6,15.0622,3.093,0.0466666666666667
1980,1,13,12,10.0584,5.259,0
1980,1,13,18,8.255,3.87,0
1980,1,14,0,2.8702,2.898,0.03
1980,1,14,6,0.1016,2.231,0.32
1980,1,14,12,0.0254,4.315,0.0466666666666667
1980,1,14,18,0,0.852,0.923333333333333
1980,1,15,0,1.8542,-0.463,1
1980,1,15,6,0.0762,0.63,0.811666666666667
1980,1,15,12,0,2.278,0.558333333333333
1980,1,15,18,0,-1.25,1
1980,1,16,0,0,-1.759,1
1980,1,16,6,0,-0.981,0.908333333333333
1980,1,16,12,3.81,1.574,0.326666666666667
1980,1,16,18,8.8392,0.463,0.786666666666667
1980,1,17,0,1.4224,-0.657,0.993333333333333
1980,1,17,6,1.3208,-0.185,0.948333333333333
1980,1,17,12,6.096,0.296,0.853333333333333
1980,1,17,18,8.3566,-1.444,0.998333333333333
1980,1,18,0,5.715,-3.704,1
1980,1,18,6,0.127,-5.222,1
1980,1,18,12,0.1524,-4,1
1980,1,18,18,0.1016,-5.722,1
1980,1,19,0,0,-7.537,1
1980,1,19,6,0,-6.611,1
1980,1,19,12,0,-5.463,1
1980,1,19,18,0,-10.231,1
1980,1,20,0,0,-11.417,1
1980,1,20,6,0,-7.954,1
1980,1,20,12,0,-4.593,1
1980,1,20,18,0,-7.398,1
1980,1,21,0,0,-5.296,1
1980,1,21,6,0,-3.083,1
1980,1,21,12,0,-2.426,1
1980,1,21,18,0,-7.713,1
1980,1,22,0,0,-9.287,1
1980,1,22,6,0,-5.204,1
1980,1,22,12,0,-1.602,1
1980,1,22,18,0,-5.648,1
1980,1,23,0,0,-7.62,1
1980,1,23,6,0,-4.269,0.998333333333333
1980,1,23,12,0,-0.093,0.805
1980,1,23,18,0,-6.241,1
1980,1,24,0,0.0762,-5.269,1
1980,1,24,6,0.4572,-1.722,0.816666666666667
1980,1,24,12,0.7366,1.093,0.541666666666667
1980,1,24,18,0.4572,-2.13,1
1980,1,25,0,0.635,-5.306,1
1980,1,25,6,0,-4.083,1
1980,1,25,12,0,-3.056,1
1980,1,25,18,0,-8.019,1
1980,1,26,0,0.1524,-10.454,1
1980,1,26,6,1.2954,-9.028,1
1980,1,26,12,0.4064,-5.731,1
1980,1,26,18,0.0508,-11.213,1
1980,1,27,0,1.3716,-10.241,1
1980,1,27,6,0,-8.426,1
1980,1,27,12,0,-9.028,1
1980,1,27,18,0,-16.981,1
1980,1,28,0,0,-21.806,1
1980,1,28,6,0,-17.759,1
1980,1,28,12,0.2286,-10.222,1
1980,1,28,18,0.5842,-13.222,1
1980,1,29,0,0.5334,-12.139,1
1980,1,29,6,1.4478,-9.213,1
1980,1,29,12,1.0414,-7.546,1
1980,1,29,18,0.0254,-16.463,1
1980,1,30,0,0,-20.037,1
1980,1,30,6,0,-15.296,1
1980,1,30,12,0,-7.861,1
1980,1,30,18,0,-14.111,1
1980,1,31,0,0.0254,-14.389,1
1980,1,31,6,0.1524,-8.491,1
1980,1,31,12,0.1524,-1.769,0.991666666666667
1980,1,31,18,0.1524,-7.259,1
1980,2,1,0,0.127,-6.537,1
1980,2,1,6,0,-1.713,0.815
1980,2,1,12,0.1016,1.463,0.496666666666667
1980,2,1,18,0,-4.13,1
1980,2,2,0,0,-6.157,1
1980,2,2,6,0,-1.407,0.763333333333333
1980,2,2,12,0.0508,2.389,0.426666666666667
1980,2,2,18,0.0254,0.657,0.976666666666667
1980,2,3,0,0,1.12,0.8
1980,2,3,6,0,2.102,0.42
1980,2,3,12,0,3.074,0.101666666666667
1980,2,3,18,0,2.12,0.158333333333333
1980,2,4,0,0,-1.537,0.975
1980,2,4,6,0,-1.12,0.811666666666667
1980,2,4,12,0,1.426,0.561666666666667
1980,2,4,18,0,-3.815,1
1980,2,5,0,0.0254,-4.88,1
1980,2,5,6,0.1016,-0.991,0.91
1980,2,5,12,0.0762,2.037,0.488333333333333
1980,2,5,18,0,0.417,0.843333333333333
1980,2,6,0,0.4826,1.37,0.455
1980,2,6,6,0,1.093,0.525
1980,2,6,12,0,-0.13,0.908333333333333
1980,2,6,18,0,-3.5,1
1980,2,7,0,0,-3.713,1
1980,2,7,6,0,-1.602,0.99
1980,2,7,12,0,0.009,0.906666666666667
1980,2,7,18,0,-3.935,1
1980,2,8,0,0,-6.056,1
1980,2,8,6,0,-4.37,1
1980,2,8,12,0,-0.796,0.975
1980,2,8,18,0,-6.981,1
1980,2,9,0,0,-9.019,1
1980,2,9,6,0,-4.222,1
1980,2,9,12,0,0.769,0.885
1980,2,9,18,0,-7.194,1
1980,2,10,0,0,-9.63,1
1980,2,10,6,0,-3.63,0.931666666666667
1980,2,10,12,0,1.426,0.601666666666667
1980,2,10,18,0,-6.417,1
1980,2,11,0,0,-8.926,1
1980,2,11,6,0,-4.704,0.978333333333333
1980,2,11,12,0,1.5,0.578333333333333
1980,2,11,18,0,-8.176,1
1980,2,12,0,0,-9.287,1
1980,2,12,6,0,-3.296,0.845
1980,2,12,12,0,3.509,0.238333333333333
1980,2,12,18,0,-4.083,1
1980,2,13,0,0,-4.083,1
1980,2,13,6,0.0254,-0.565,0.761666666666667
1980,2,13,12,0,3.833,0.231666666666667
1980,2,13,18,0,-1.778,1
1980,2,14,0,1.4732,-1.685,1
1980,2,14,6,1.9558,0.759,0.575
1980,2,14,12,0.0508,3.185,0.0266666666666667
1980,2,14,18,0.6604,1.62,0.24
1980,2,15,0,10.5918,2.278,0.128333333333333
1980,2,15,6,0.2286,1.741,0.256666666666667
1980,2,15,12,0.4318,3.065,0.118333333333333
1980,2,15,18,0.1778,1.213,0.56
1980,2,16,0,0.3556,-0.509,0.983333333333333
1980,2,16,6,0.0762,0.898,0.623333333333333
1980,2,16,12,0,4.694,0.0216666666666667
1980,2,16,18,1.27,0.991,0.66
1980,2,17,0,2.8448,0.37,0.851666666666667
1980,2,17,6,2.5146,2.611,0.363333333333333
1980,2,17,12,0.9144,5.648,0.00666666666666667
1980,2,17,18,5.6388,2.472,0.241666666666667
1980,2,18,0,2.2606,1.333,0.386666666666667
1980,2,18,6,0.3048,2.843,0.286666666666667
1980,2,18,12,0.5588,5.111,0.055
1980,2,18,18,1.0414,2.074,0.73
1980,2,19,0,0,-0.019,1
1980,2,19,6,0.381,1.435,0.716666666666667
1980,2,19,12,2.1336,3.972,0.17
1980,2,19,18,2.0574,1.556,0.738333333333333
1980,2,20,0,0.8382,-0.176,1
1980,2,20,6,2.3622,-0.574,0.965
1980,2,20,12,1.2954,2.213,0.563333333333333
1980,2,20,18,0,-1.806,1
1980,2,21,0,1.1938,-4.269,1
1980,2,21,6,1.1684,-1.343,0.998333333333333
1980,2,21,12,2.6924,1.037,0.978333333333333
1980,2,21,18,1.6256,-2.407,1
1980,2,22,0,0.9906,-4.546,1
1980,2,22,6,0.0508,-3.565,1
1980,2,22,12,2.3368,0.815,0.993333333333333
1980,2,22,18,1.0668,-1.824,1
1980,2,23,0,0.2286,-4.361,1
1980,2,23,6,0,-2.981,1
1980,2,23,12,0,1.889,0.651666666666667
1980,2,23,18,0,-4.343,1
1980,2,24,0,0,-6.574,1
1980,2,24,6,0,-1.972,0.965
1980,2,24,12,0,5.574,0.136666666666667
1980,2,24,18,0,-1.389,0.925
1980,2,25,0,0,-4.343,1
1980,2,25,6,0,0.657,0.76
1980,2,25,12,0,9.056,0
1980,2,25,18,0,-0.509,0.856666666666667
1980,2,26,0,0,-2.398,1
1980,2,26,6,0,3.565,0.501666666666667
1980,2,26,12,0,10.741,0
1980,2,26,18,0,3.204,0.448333333333333
1980,2,27,0,0.2032,-1.028,1
1980,2,27,6,1.2192,2.639,0.595
1980,2,27,12,1.2192,9.574,0
1980,2,27,18,1.2192,2.306,0.78
1980,2,28,0,1.016,-0.583,1
1980,2,28,6,0,2.667,0.563333333333333
1980,2,28,12,1.1176,4.231,0.341666666666667
1980,2,28,18,1.0668,0.296,0.976666666666667
1980,2,29,0,0.1524,-2.389,1
1980,2,29,6,0,-1.213,0.998333333333333
1980,2,29,12,0,3.852,0.438333333333333
1980,2,29,18,0,-2.963,1
1980,3,1,0,0,-4.787,1
1980,3,1,6,0,-1.676,0.998333333333333
1980,3,1,12,0,3.944,0.37
1980,3,1,18,0,-1.167,1
1980,3,2,0,0.0762,-1.917,1
1980,3,2,6,0.0508,0.287,0.94
1980,3,2,12,0.2032,2.954,0.551666666666667
1980,3,2,18,0.0762,-0.389,0.998333333333333
1980,3,3,0,0.8128,-1.833,1
1980,3,3,6,1.2192,-0.083,0.981666666666667
1980,3,3,12,1.4478,2.713,0.785
1980,3,3,18,0.6096,-0.815,1
1980,3,4,0,0.381,-2.167,1
1980,3,4,6,0.0762,-0.537,0.875
1980,3,4,12,0,1.981,0.548333333333333
1980,3,4,18,0,-2.648,1
1980,3,5,0,0,-3.463,1
1980,3,5,6,0.0508,-1.204,1
1980,3,5,12,0.0508,1.194,1
1980,3,5,18,0,-3.537,1
1980,3,6,0,0,-6.731,1
1980,3,6,6,0,-4.333,1
1980,3,6,12,0.0508,-0.111,1
1980,3,6,18,0,-4.222,1
1980,3,7,0,0,-4.843,1
1980,3,7,6,0,-3.157,1
1980,3,7,12,0,0.694,1
1980,3,7,18,0,-2.731,1
1980,3,8,0,0,-4.676,1
1980,3,8,6,0,-2.222,1
1980,3,8,12,0.0508,2.778,0.923333333333333
1980,3,8,18,0.0254,-1.861,1
1980,3,9,0,0,-5.231,1
1980,3,9,6,0,-1.972,0.998333333333333
1980,3,9,12,0,5.176,0.175
1980,3,9,18,0,-2.287,0.986666666666667
1980,3,10,0,0.0762,-5.759,1
1980,3,10,6,0.4572,-0.685,0.893333333333333
1980,3,10,12,0.4572,5.926,0.118333333333333
1980,3,10,18,0.4572,-2.481,1
1980,3,11,0,0.3556,-5.148,1
1980,3,11,6,0.127,-0.676,0.943333333333333
1980,3,11,12,0.6096,2.167,0.853333333333333
1980,3,11,18,0.254,-4.093,1
1980,3,12,0,0.0254,-7.38,1
1980,3,12,6,0,-5.537,1
1980,3,12,12,0,1.648,0.983333333333333
1980,3,12,18,0,-4.528,1
1980,3,13,0,0,-7.741,1
1980,3,13,6,0.5588,-1.583,0.95
1980,3,13,12,0.0762,5.333,0.146666666666667
1980,3,13,18,0,2.5,0.546666666666667
1980,3,14,0,0.0254,-1.509,0.996666666666667
1980,3,14,6,0.1524,-0.398,0.998333333333333
1980,3,14,12,0.1778,5.213,0.253333333333333
1980,3,14,18,0.1524,2.241,0.845
1980,3,15,0,3.0734,-2.102,1
1980,3,15,6,0,-2.176,1
