year,month,day,hour,flow_cfs,Source
1990,4,3,0,152,USGS_13105000
1990,4,4,0,167,USGS_13105000
1990,4,5,0,180,USGS_13105000
1990,4,6,0,180,USGS_13105000
1990,4,6,18,168,USGS_13105000
1990,4,7,0,173,USGS_13105000
1990,4,7,6,177,USGS_13105000
1990,4,8,0,175,USGS_13105000
1990,4,9,0,179,USGS_13105000
1990,4,10,0,175,USGS_13105000
1990,4,11,0,153,USGS_13105000
1990,4,12,0,157,USGS_13105000
1990,4,13,0,157,USGS_13105000
1990,4,14,0,155,USGS_13105000
1990,4,15,0,158,USGS_13105000
1990,4,16,0,170,USGS_13105000
1990,4,17,0,180,USGS_13105000
1990,4,18,0,189,USGS_13105000
1990,4,18,12,202,USGS_13105000
1990,4,18,18,202,USGS_13105000
1990,4,19,0,198,USGS_13105000
1990,4,19,6,200,USGS_13105000
1990,4,19,12,193,USGS_13105000
1990,4,19,18,186,USGS_13105000
1990,4,20,0,180,USGS_13105000
1990,4,20,6,179,USGS_13105000
1990,4,20,12,177,USGS_13105000
1990,4,20,18,175,USGS_13105000
1990,4,21,0,179,USGS_13105000
1990,4,21,6,179,USGS_13105000
1990,4,21,12,179,USGS_13105000
1990,4,21,18,180,USGS_13105000
1990,4,22,0,180,USGS_13105000
1990,4,22,6,188,USGS_13105000
1990,4,22,12,191,USGS_13105000
1990,4,22,18,188,USGS_13105000
1990,4,23,0,191,USGS_13105000
1990,4,23,6,195,USGS_13105000
1990,4,23,12,188,USGS_13105000
1990,4,23,18,189,USGS_13105000
1990,4,24,0,198,USGS_13105000
1990,4,24,6,200,USGS_13105000
1990,4,24,12,204,USGS_13105000
1990,4,24,18,204,USGS_13105000
1990,4,25,0,210,USGS_13105000
1990,4,25,6,217,USGS_13105000
1990,4,25,12,206,USGS_13105000
1990,4,25,18,197,USGS_13105000
1990,4,26,0,189,USGS_13105000
1990,4,26,6,191,USGS_13105000
1990,4,26,12,188,USGS_13105000
1990,4,26,18,186,USGS_13105000
1990,4,27,0,184,USGS_13105000
1990,4,27,6,191,USGS_13105000
1990,4,27,12,186,USGS_13105000
1990,4,27,18,177,USGS_13105000
1990,4,28,0,167,USGS_13105000
1990,4,28,6,172,USGS_13105000
1990,4,28,12,184,USGS_13105000
1990,4,28,18,186,USGS_13105000
1990,4,29,0,191,USGS_13105000
1990,4,29,6,195,USGS_13105000
1990,4,29,12,208,USGS_13105000
1990,4,29,18,221,USGS_13105000
1990,4,30,0,227,USGS_13105000
1990,4,30,6,227,USGS_13105000
1990,4,30,12,223,USGS_13105000
1990,4,30,18,225,USGS_13105000
1990,5,1,0,225,USGS_13105000
1990,5,1,6,223,USGS_13105000
1990,5,1,12,217,USGS_13105000
1990,5,1,18,215,USGS_13105000
1990,5,2,0,211,USGS_13105000
1990,5,2,6,208,USGS_13105000
1990,5,2,12,208,USGS_13105000
1990,5,2,18,204,USGS_13105000
1990,5,3,0,204,USGS_13105000
1990,5,3,6,206,USGS_13105000
1990,5,3,12,198,USGS_13105000
1990,5,3,18,195,USGS_13105000
1990,5,4,0,195,USGS_13105000
1990,5,4,6,191,USGS_13105000
1990,5,4,12,193,USGS_13105000
1990,5,4,18,188,USGS_13105000
1990,5,5,0,182,USGS_13105000
1990,5,5,6,182,USGS_13105000
1990,5,5,12,191,USGS_13105000
1990,5,5,18,184,USGS_13105000
1990,5,6,0,182,USGS_13105000
1990,5,6,6,184,USGS_13105000
1990,5,6,12,193,USGS_13105000
1990,5,6,18,191,USGS_13105000
1990,5,7,0,189,USGS_13105000
1990,5,7,6,195,USGS_13105000
1990,5,7,12,200,USGS_13105000
1990,5,7,18,198,USGS_13105000
1990,5,8,0,202,USGS_13105000
1990,5,8,6,210,USGS_13105000
1990,5,8,12,211,USGS_13105000
1990,5,8,18,215,USGS_13105000
1990,5,9,0,211,USGS_13105000
1990,5,9,6,219,USGS_13105000
1990,5,9,12,221,USGS_13105000
1990,5,9,18,217,USGS_13105000
1990,5,10,0,217,USGS_13105000
1990,5,10,6,210,USGS_13105000
1990,5,10,12,208,USGS_13105000
1990,5,10,18,200,USGS_13105000
1990,5,11,0,200,USGS_13105000
1990,5,11,6,195,USGS_13105000
1990,5,11,12,197,USGS_13105000
1990,5,11,18,189,USGS_13105000
1990,5,12,0,184,USGS_13105000
1990,5,12,6,184,USGS_13105000
1990,5,12,12,186,USGS_13105000
1990,5,12,18,182,USGS_13105000
1990,5,13,0,179,USGS_13105000
1990,5,13,6,180,USGS_13105000
1990,5,13,12,180,USGS_13105000
1990,5,13,18,180,USGS_13105000
1990,5,14,0,180,USGS_13105000
1990,5,14,6,186,USGS_13105000
1990,5,14,12,182,USGS_13105000
1990,5,14,18,173,USGS_13105000
1990,5,15,0,175,USGS_13105000
1990,5,15,6,168,USGS_13105000
1990,5,15,12,158,USGS_13105000
1990,5,15,18,139,USGS_13105000
1990,5,16,0,135,USGS_13105000
1990,5,16,6,129,USGS_13105000
1990,5,16,12,121,USGS_13105000
1990,5,16,18,116,USGS_13105000
1990,5,17,0,110,USGS_13105000
1990,5,17,6,106,USGS_13105000
1990,5,17,12,105,USGS_13105000
1990,5,17,18,104,USGS_13105000
1990,5,18,0,102,USGS_13105000
1990,5,18,6,101,USGS_13105000
1990,5,18,12,99.6,USGS_13105000
1990,5,18,18,95.8,USGS_13105000
1990,5,19,0,92,USGS_13105000
1990,5,19,6,87.2,USGS_13105000
1990,5,19,12,83.7,USGS_13105000
1990,5,19,18,82.6,USGS_13105000
1990,5,20,0,81.5,USGS_13105000
1990,5,20,6,83.7,USGS_13105000
1990,5,20,12,84.9,USGS_13105000
1990,5,20,18,86,USGS_13105000
1990,5,21,0,87.2,USGS_13105000
1990,5,21,6,89.6,USGS_13105000
1990,5,21,12,90.8,USGS_13105000
1990,5,21,18,88.4,USGS_13105000
1990,5,22,0,90.8,USGS_13105000
1990,5,22,6,92,USGS_13105000
1990,5,22,12,93.2,USGS_13105000
1990,5,22,18,88.4,USGS_13105000
1990,5,23,0,87.2,USGS_13105000
1990,5,23,6,90.8,USGS_13105000
1990,5,23,12,89.6,USGS_13105000
1990,5,23,18,84.9,USGS_13105000
1990,5,24,0,86,USGS_13105000
1990,5,24,6,90.8,USGS_13105000
1990,5,24,12,93.2,USGS_13105000
1990,5,24,18,87.2,USGS_13105000
1990,5,25,0,81.5,USGS_13105000
1990,5,25,6,83.7,USGS_13105000
1990,5,25,12,87.2,USGS_13105000
1990,5,25,18,89.6,USGS_13105000
1990,5,26,0,90.8,USGS_13105000
1990,5,26,6,90.8,USGS_13105000
1990,5,26,12,99.6,USGS_13105000
1990,5,26,18,102,USGS_13105000
1990,5,27,0,101,USGS_13105000
1990,5,27,6,101,USGS_13105000
1990,5,27,12,102,USGS_13105000
1990,5,27,18,101,USGS_13105000
1990,5,28,0,104,USGS_13105000
1990,5,28,6,104,USGS_13105000
1990,5,28,12,113,USGS_13105000
1990,5,28,18,114,USGS_13105000
1990,5,29,0,117,USGS_13105000
1990,5,29,6,123,USGS_13105000
1990,5,29,12,139,USGS_13105000
1990,5,29,18,135,USGS_13105000
1990,5,30,0,146,USGS_13105000
1990,5,30,6,152,USGS_13105000
1990,5,30,12,157,USGS_13105000
1990,5,30,18,163,USGS_13105000
1990,5,31,0,170,USGS_13105000
1990,5,31,6,195,USGS_13105000
1990,5,31,12,206,USGS_13105000
1990,5,31,18,217,USGS_13105000
1990,6,1,0,229,USGS_13105000
1990,6,1,6,247,USGS_13105000
1990,6,1,12,270,USGS_13105000
1990,6,1,18,243,USGS_13105000
1990,6,2,0,237,USGS_13105000
1990,6,2,6,235,USGS_13105000
1990,6,2,12,229,USGS_13105000
1990,6,2,18,219,USGS_13105000
1990,6,3,0,215,USGS_13105000
1990,6,3,6,211,USGS_13105000
1990,6,3,12,206,USGS_13105000
1990,6,3,18,198,USGS_13105000
1990,6,4,0,193,USGS_13105000
1990,6,4,6,191,USGS_13105000
1990,6,4,12,182,USGS_13105000
1990,6,4,18,170,USGS_13105000
1990,6,5,0,168,USGS_13105000
1990,6,5,6,168,USGS_13105000
1990,6,5,12,160,USGS_13105000
1990,6,5,18,153,USGS_13105000
1990,6,6,0,153,USGS_13105000
1990,6,6,6,157,USGS_13105000
1990,6,6,12,158,USGS_13105000
1990,6,6,18,153,USGS_13105000
1990,6,7,0,153,USGS_13105000
1990,6,7,6,155,USGS_13105000
1990,6,7,12,155,USGS_13105000
1990,6,7,18,152,USGS_13105000
1990,6,8,0,149,USGS_13105000
1990,6,8,6,152,USGS_13105000
1990,6,8,12,153,USGS_13105000
1990,6,8,18,147,USGS_13105000
1990,6,9,0,144,USGS_13105000
1990,6,9,6,147,USGS_13105000
1990,6,9,12,152,USGS_13105000
1990,6,9,18,147,USGS_13105000
1990,6,10,0,146,USGS_13105000
1990,6,10,6,146,USGS_13105000
1990,6,10,12,157,USGS_13105000
1990,6,10,18,155,USGS_13105000
1990,6,11,0,158,USGS_13105000
1990,6,11,6,160,USGS_13105000
1990,6,11,12,163,USGS_13105000
1990,6,11,18,162,USGS_13105000
1990,6,12,0,160,USGS_13105000
1990,6,12,6,158,USGS_13105000
1990,6,12,12,158,USGS_13105000
1990,6,12,18,155,USGS_13105000
1990,6,13,0,152,USGS_13105000
