year,month,day,hour,MFNW1,NFNW1,NSSW1
2000,2,19,0,173.9629443526745,268.0671547845364,373.52700527477265
2000,2,19,6,170.3821552316189,265.4646146731377,367.9782673687935
2000,2,19,12,167.03982830438616,266.8565225904465,362.99688122005466
2000,2,19,18,166.29797024712565,264.89113338842395,358.86908229007724
2000,2,20,0,168.58226327137947,263.20372836093907,355.5732488390923
2000,2,20,6,167.4727851199627,260.13264986376765,354.4999753142357
2000,2,20,12,164.43013146448138,259.4883759046078,350.21799519319535
2000,2,20,18,165.55808239512444,259.948393573618,347.61944601039886
2000,2,21,0,169.93781500787736,259.948393573618,350.2987567694664
2000,2,21,6,178.89337459445,261.1317628419399,362.2358768091202
2000,2,21,12,207.709512520504,262.91525326437954,401.8531009508133
2000,2,21,18,255.69103259863854,270.1936461550713,496.614113826561
2000,2,22,0,274.0056733839989,275.5761458873749,579.7169001626969
2000,2,22,6,268.46845360107426,278.1364360415459,583.5886734451294
2000,2,22,12,282.4380171790123,283.8657592569351,579.3385533954621
2000,2,22,18,338.3889164949417,301.9890880598068,636.808868271637
2000,2,23,0,389.0438703950882,340.45386000032425,754.2599099903107
2000,2,23,6,362.3451642632485,369.72919046669006,818.4176740549088
2000,2,23,12,322.0488760421753,360.3777880166054,763.060362220955
2000,2,23,18,289.8684526618958,338.9385869229317,692.680386838913
2000,2,24,0,271.95751872172355,325.6879293529511,638.0565302209855
2000,2,24,6,257.2419714430332,316.680790803051,602.9554206783295
2000,2,24,12,243.7953710662365,310.73669837503434,573.3916993122101
2000,2,24,18,234.71523388557435,309.1820211924553,544.9054949899673
2000,2,25,0,225.49526264958382,303.2019598889351,521.0198378237725
2000,2,25,6,219.13729240221977,298.13364895772935,504.7693490938187
2000,2,25,12,214.02255535221101,293.06564113502503,485.59908352699284
2000,2,25,18,212.14626321024895,291.0246768799782,470.961603526783
2000,2,26,0,217.9363260014534,291.0246768799782,484.1234839845658
2000,2,26,6,218.11603566408158,292.17079748134614,525.3536158198357
2000,2,26,12,201.22169395899775,291.9056112213135,507.1012638315201
2000,2,26,18,199.37109868221285,287.52798352870946,481.47411360969545
2000,2,27,0,200.4558903301239,283.5545341834069,477.68249568653107
2000,2,27,6,210.97112838954928,283.59733983955385,514.1280598266602
2000,2,27,12,245.6700971476078,285.16821648759844,619.3733936946869
2000,2,27,18,282.3619032664299,289.69032589921954,732.9950973211289
2000,2,28,0,286.6218911817551,291.7108808485031,773.528180639267
2000,2,28,6,278.4401170812607,295.64472401628495,760.685944935608
2000,2,28,12,267.07738765182495,293.5828115959168,718.9962669334412
2000,2,28,18,270.0782628521919,291.5329898368836,691.2096370325089
2000,2,29,0,274.0267225854874,293.5288582826615,700.2587729492188
2000,2,29,6,271.20653373069763,292.292141918087,715.109607655716
2000,2,29,12,269.4312103984356,290.9052858091355,731.8836321250916
2000,2,29,18,278.5131493907452,290.7786201342583,757.0029745708466
2000,3,1,0,306.04444405794146,290.7786201342583,838.4296382514954
2000,3,1,6,325.8548747797966,297.0157511257172,946.6981763128281
2000,3,1,12,316.23188711242676,302.4322326889038,910.3380887701035
2000,3,1,18,296.203049875927,299.5841578519821,835.7994647483827
2000,3,2,0,280.5398675462246,295.5687448185921,779.8122260910035
2000,3,2,6,272.9422508854389,298.4561227245331,746.8345599945069
2000,3,2,12,282.01002797498705,298.33871869831086,750.5506702220918
2000,3,2,18,307.95800170621874,297.28198142614366,833.8192232297898
2000,3,3,0,335.9166961997986,301.27011469440464,945.8050165952683
2000,3,3,6,334.43799821491245,308.9835524814606,942.718765833664
2000,3,3,12,317.9591003897667,307.60171450214386,883.0443132925034
2000,3,3,18,357.1377938873291,309.42215048303603,937.7618641160966
2000,3,4,0,469.57498316888814,324.0284103075981,1208.6901442424776
2000,3,4,6,560.64575107584,340.4813081590653,1489.8787818572998
2000,3,4,12,540.0342719421387,353.05950267925266,1483.8921868816376
2000,3,4,18,432.64953091354374,345.49485748767853,1310.309087999344
2000,3,5,0,333.23034658775333,339.75428557901387,1170.8968249900818
2000,3,5,6,317.8416290060997,335.7383336860657,1060.7660556533815
2000,3,5,12,283.7032931001663,329.0769181500435,963.3036724554063
2000,3,5,18,283.95753377542496,320.8351959237099,885.7111292455673
2000,3,6,0,310.63478656110766,317.8507222611427,823.3529540327073
2000,3,6,6,290.39266197576524,312.2555413969994,780.4313083658219
2000,3,6,12,271.90679856581687,306.4164255466461,739.240546957016
2000,3,6,18,258.9588621919632,302.9093928276062,697.126853840065
2000,3,7,0,249.6678793698311,301.90522804107667,667.3810653007507
2000,3,7,6,239.67728844766617,298.75518977928164,640.5785950252533
2000,3,7,12,230.91107063832285,291.9777173659325,612.0133804203034
2000,3,7,18,225.20958288698196,289.35525629024505,590.0505425510407
2000,3,8,0,223.3633321653843,287.35369614038467,572.4852028205872
