year,month,day,hour,flow_cfs
2007,10,2,0,1892.06286332384
2007,10,2,6,2851.28142268284
2007,10,2,12,6162.4469457984
2007,10,2,18,6241.2842201583
2007,10,3,0,4268.92739545053
2007,10,3,6,2722.6565654431
2007,10,3,12,2320.17689924717
2007,10,3,18,1787.4832233996
2007,10,4,0,3411.88936450386
2007,10,4,6,3175.86042642984
2007,10,4,12,2522.76009680113
2007,10,4,18,2407.50709745488
2007,10,5,0,2117.92666294245
2007,10,5,6,1638.00199342164
2007,10,5,12,1340.18344916316
2007,10,5,18,1151.56503779945
2007,10,6,0,1044.73163364788
2007,10,6,6,958.806918826909
2007,10,6,12,887.922360625697
2007,10,6,18,851.858287154906
2007,10,7,0,912.342867922535
2007,10,7,6,1351.28697301969
2007,10,7,12,1818.55443097978
2007,10,7,18,7476.2793273613
2007,10,8,0,5048.20105582438
2007,10,8,6,2906.32741727161
2007,10,8,12,2086.28482650618
2007,10,8,18,1700.38243085186
2007,10,9,0,1504.48802805856
2007,10,9,6,1374.14435586798
2007,10,9,12,1249.3367492341
2007,10,9,18,1153.52484919192
2007,10,10,0,1061.09867476445
2007,10,10,6,981.295313951261
2007,10,10,12,963.949184664244
2007,10,10,18,963.949184664244
2007,10,11,0,1075.93772046378
2007,10,11,6,1194.27605430262
2007,10,11,12,1038.7190892464
2007,10,11,18,950.90467348885
2007,10,12,0,882.39553891976
2007,10,12,6,831.536802645286
2007,10,12,12,791.4627398672
2007,10,12,18,743.874790318223
2007,10,13,0,706.109317205526
2007,10,13,6,675.874425937851
2007,10,13,12,645.835562562836
2007,10,13,18,617.048318495112
2007,10,14,0,596.412388386934
2007,10,14,6,576.985207183734
2007,10,14,12,563.187734838036
2007,10,14,18,535.59279014664
2007,10,15,0,520.717091049184
2007,10,15,6,499.652655085577
2007,10,15,12,493.406996897008
2007,10,15,18,493.406996897008
2007,10,16,0,524.13424691405
2007,10,16,6,554.485205444287
2007,10,16,12,560.659873656361
2007,10,16,18,521.141997099085
2007,10,17,0,812.227651624787
2007,10,17,6,962.983784669684
2007,10,17,12,836.93878667627
2007,10,17,18,780.218537579233
2007,10,18,0,740.493783327777
2007,10,18,6,783.825103694911
2007,10,18,12,792.253330616362
2007,10,18,18,863.291243240017
2007,10,19,0,1915.37855154899
2007,10,19,6,2789.00191579085
2007,10,19,12,4563.82131674867
2007,10,19,18,2839.7110415325
2007,10,20,0,2247.11740169033
2007,10,20,6,1877.01795338957
2007,10,20,12,1640.83688640677
2007,10,20,18,1454.37814931509
2007,10,21,0,1334.63117097735
2007,10,21,6,1226.04335842626
2007,10,21,12,1169.53234190562
2007,10,21,18,1584.76546329647
2007,10,22,0,2527.6031955103
2007,10,22,6,3822.64564150765
2007,10,22,12,3440.38107735689
2007,10,22,18,3109.08512175956
2007,10,23,0,2678.45908532443
2007,10,23,6,2204.68615767742
2007,10,23,12,1916.57376207185
2007,10,23,18,1753.72762542522
2007,10,24,0,1602.63640549008
2007,10,24,6,1466.14909240836
2007,10,24,12,1379.90502814904
2007,10,24,18,1983.61347796425
2007,10,25,0,1663.07685008209
2007,10,25,6,1437.69486718732
2007,10,25,12,1275.17283872267
2007,10,25,18,1171.40877439523
2007,10,26,0,1088.7576935769
2007,10,26,6,1007.37733536437
2007,10,26,12,954.883727318086
2007,10,26,18,904.889814893055
2007,10,27,0,861.834448718895
2007,10,27,6,821.330871692449
2007,10,27,12,788.877068251713
2007,10,27,18,750.182148764683
2007,10,28,0,719.598629311208
2007,10,28,6,690.211600848957
2007,10,28,12,667.704700821273
2007,10,28,18,638.945884119234
2007,10,29,0,617.007200287603
2007,10,29,6,596.279811097209
2007,10,29,12,582.500235630677
2007,10,29,18,576.236792236798
2007,10,30,0,562.046487357604
2007,10,30,6,540.371239605915
2007,10,30,12,520.357489990881
2007,10,30,18,500.343740375847
2007,10,31,0,493.905662655273
2007,10,31,6,476.222911301912
2007,10,31,12,464.973551192418
2007,10,31,18,453.724191082924
2007,11,1,0,443.476222257728
2007,11,1,6,439.455836400691
2007,11,1,12,433.177895880682
2007,11,1,18,423.133191048666
2007,11,2,0,411.670011325174
2007,11,2,6,406.488761933703
2007,11,2,12,396.452002379785
2007,11,2,18,391.433622602825
2007,11,3,0,385.754787078841
2007,11,3,6,405.0999834999
2007,11,3,12,513.876830921169
2007,11,3,18,782.69317799672
2007,11,4,0,1110.40392280038
2007,11,4,6,933.785708276884
2007,11,4,12,1637.32288574577
2007,11,4,18,1151.24265403999
2007,11,5,0,893.199523081368
2007,11,5,6,736.050050988685
2007,11,5,12,647.530028382138
2007,11,5,18,584.474669813091
2007,11,6,0,551.121399097787
2007,11,6,6,516.82096128058
2007,11,6,12,490.731441600551
2007,11,6,18,473.338428480532
2007,11,7,0,464.803628548917
2007,11,7,6,461.166179007514
2007,11,7,12,456.13984463141
2007,11,7,18,483.784683699981
2007,11,8,0,530.375762565412
2007,11,8,6,536.758375951914
2007,11,8,12,556.871101982899
2007,11,8,18,592.068372537123
2007,11,9,0,556.8676733262
2007,11,9,6,631.329822431888
2007,11,9,12,943.324211424391
2007,11,9,18,828.3145150899
2007,11,10,0,749.042682293117
2007,11,10,6,770.454924371282
2007,11,10,12,2640.10913128874
2007,11,10,18,1586.60404524564
2007,11,11,0,1179.71779955644
2007,11,11,6,966.370833627762
2007,11,11,12,891.383359679175
2007,11,11,18,803.091656481645
2007,11,12,0,822.804532158485
2007,11,12,6,890.492198948978
2007,11,12,12,907.562336948
2007,11,12,18,1197.75468293137
